Label,ラベル
Target,ターゲット
Select...,選択してください...
Done,完了
"Type category name to search...","検索するカテゴリ名を入力..."
"There are no categories matching your selection","条件にマッチするカテゴリはありません"
"Remove this category","このカテゴリを削除"
Result,結果
Results,結果
Category,カテゴリ
Subcategories,サブカテゴリ
"Show products count","商品点数を表示"
Yes,Yes
No,No
"Data source","データソース"
"CMS Tags","CMSタグ"
"CMS Pages IDs","CMSページID"
"Multiple, comma-separated.","複数指定、カンマ区切り。"
"Providing list of comma separated IDs will result in ignoring any CMS tags (if specified). Only pages with specified IDs will be displayed in exactly the same order as they are provided in the field.","カンマ区切りでIDを指定された場合、CMSタグを指定されても無視されます。指定されたIDのページがフィールドに指定された順番で表示されます。"
"Teasers limit","ティーザー件数"
"4 teasers","4件"
"8 teasers","8件"
"16 teasers","16件"
"All available teasers (no limit)","全て (制限なし)"
"Display variant","変数を表示"
"{{ scenario }}","{{ scenario }}"
"{{ option.name }}","{{ option.name }}"
"Select tags...","タグを選択..."
"Type tag-name to search...","検索するタグ名を入力..."
"There are no tags matching your selection","一致するタグがありませんでした"
"Remove this tag","このタグを削除"
Headline,ヘッドライン
Subheadline,サブヘッドライン
"Advanced settings","拡張設定"
"Level of Heading tag","Hタグのレベル"
"Check offer","オファーを確認"
"Text color scheme","テキストの色"
Light,ライト
Dark,ダーク
Paragraph,段落
"CTA label","CTAラベル"
"CTA target link","CTAターゲットリンク"
Change,変更
Upload,アップロード
"Insert File...","ファイルを挿入..."
"Are you sure you want to delete this item?","このアイテムを削除してもよろしいですか?"
Warning,警告
"Images you have uploaded have different aspect ratio. This may cause this component to display wrong. We recommend to keep the same aspect ratio for all uploaded images.","アップロードいただいた画像の縦横比が異なっています。コンポーネントの表示内容が期待通りにならない恐れがあります。他の画像と同じ縦横比の画像をアップロードいただくことをおすすめします。"
More,もっと
"Teaser size","ティーザーサイズ"
1x1,1x1
1x2,1x2
2x1,2x1
2x2,2x2
Position,ポジション
Left,左
Center,中央
Right,右
Row,行
"as last","最低"
"Show in mobiles","モバイルで表示"
"Paragraph width","段落の幅"
Identifier,識別子
Title,タイトル
"Number of columns","列数"
"Don't split content - display full width","列を分割しない - 全幅で表示する"
"Split content into 2 columns","2列に分割する"
"Split content into 3 columns","3列に分割する"
"Split content into 4 columns","4列に分割する"
"Defines the way of content display. Content can be splitted into defined number of columns. This setting has no effect on small screen resolutions (such as smartphones) where content is always displayed in one column.","コンテンツの表示方式を定義します。 コンテンツは定義した数の列に分割されます。この設定はスマートフォンのような小さい画面サイズには適用されません。スマートフォンの場合は1列で表示されます。"
HTML,HTML
"Show / Hide Editor","エディタの表示/非表示"
"Insert Widget","ウィジェット挿入"
"Insert Image","画像挿入"
"Insert Variable","変数挿入"
"An error occured. Please try again later.","エラーが発生しました。やり直してください。"
Categories,カテゴリ
SKUs,SKU
"Multiple, comma-separated","複数指定、カンマ区切り"
"Providing list of comma separated SKUs will disable any filtering and sorting configured for that component.  Category (if specified) will also not be taken into account. Only products with specified SKUs will be displayed in exactly the same order as they are provided in SKUs field.","カンマ区切りのSKUが指定された場合、このコンポーネントに対するフィルターや並べ替えの設定は無視されます。 カテゴリが指定されている場合も同様です。 指定されたSKUを持つ商品だけがSKUフィールドに指定した順に表示されます。"
"Custom Data Provider","カスタムデータプロバイダー"
Filter,フィルター
"No filter","フィルターなし"
"Order by","並べ替え"
"Not specified","未指定"
Ascending,昇順
Descending,降順
"Show ","表示 "
"products ","商品 "
"Category ID","カテゴリID"
"Mobile Layout","モバイルレイアウト"
"Tablet Layout","タブレットレイアウト"
"Desktop Layout","デスクトップレイアウト"
"Hero Teaser","ヒーローティーザー"
"Button label","ボタンラベル"
Url,URL
"1 row of products","1件表示"
"2 rows of products","2件表示"
"3 rows of products","3件表示"
"4 rows of products","4件表示"
" rows of products","件表示"
"No Hero Teaser","ヒーローティーザーなし"
"Hero Teaser on the left","ヒーローティーザーを左に配置"
"Hero Teaser on the right","ヒーローティーザーを右に配置"
"Are you sure you want to delete this step?","このステップを削除してもよろしいですか?"
"All products","すべての商品"
Tags,タグ
"Desktop layout","デスクトップレイアウト"
"teasers per row","行あたりのティーザー"
"Mobile layout","モバイルレイアウト"
teasers,ティーザー
"Would you like to delete CMS Block related to this component (CMS Block ID: %s) ?","このコンポーネントに関連しているCMSブロックを削除してもよろしいですか? (CMSブロックID: %s)"
"Please select type of component","コンポーネントを選択してください"
Cancel,キャンセル
"Configure your component","コンポーネントを設定"
Save,保存
"Hey,","こんにちは、"
"Something is wrong with configuration of your component. Please fix all errors before saving.","コンポーネントの設定内容に誤りがあります。全てのエラーを保存前に修正してください。"
